道具id	道具类型	道具名称	功能类别	道具说明	叠放数量	售价（金币）	售价（公会贡献）	是否可以使用（1=是，0=否）	功能id	功能参数1	功能参数2	功能参数3	功能参数4
41052	5	南蛮平定战星级宝箱I	57	可开出1-2级材料一个。	60000	0	60000	1	8	1001|2001|3001|4001|5001|6001|7001|8001|9001|10001|11001|12001|1002|2002|3002|4002|5002|6002|7002|8002|9002|10002|11002|12002	1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1	100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100	0
41053	5	南蛮平定战星级宝箱II	57	可开出1-3级材料一个。	60000	0	60000	1	8	1001|2001|3001|4001|5001|6001|7001|8001|9001|10001|11001|12001|1002|2002|3002|4002|5002|6002|7002|8002|9002|10002|11002|12002|1003|2003|3003|4003|5003|6003|7003|8003|9003|10003|11003|12003	1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1	100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100	0
41054	5	南蛮平定战星级宝箱III	57	可开出2-4级材料一个。	60000	0	60000	1	8	1004|2004|3004|4004|5004|6004|7004|8004|9004|10004|11004|12004|1002|2002|3002|4002|5002|6002|7002|8002|9002|10002|11002|12002|1003|2003|3003|4003|5003|6003|7003|8003|9003|10003|11003|12003	1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1	100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|66|66|66|66|66|66|66|66|66|66|66|66	0
41055	5	石亭之战星级宝箱I	57	可开出1-2级材料一个。	60000	0	60000	1	8	1001|2001|3001|4001|5001|6001|7001|8001|9001|10001|11001|12001|1002|2002|3002|4002|5002|6002|7002|8002|9002|10002|11002|12002	1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1	100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100	0
41056	5	石亭之战星级宝箱II	57	可开出1-3级材料一个。	60000	0	60000	1	8	1001|2001|3001|4001|5001|6001|7001|8001|9001|10001|11001|12001|1002|2002|3002|4002|5002|6002|7002|8002|9002|10002|11002|12002|1003|2003|3003|4003|5003|6003|7003|8003|9003|10003|11003|12003	1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1	100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100	0
41057	5	石亭之战星级宝箱III	57	可开出2-4级材料一个。	60000	0	60000	1	8	1004|2004|3004|4004|5004|6004|7004|8004|9004|10004|11004|12004|1002|2002|3002|4002|5002|6002|7002|8002|9002|10002|11002|12002|1003|2003|3003|4003|5003|6003|7003|8003|9003|10003|11003|12003	1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1	100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|66|66|66|66|66|66|66|66|66|66|66|66	0
41058	5	街亭之战星级宝箱I	57	可开出1-2级材料一个。	60000	0	60000	1	8	1001|2001|3001|4001|5001|6001|7001|8001|9001|10001|11001|12001|1002|2002|3002|4002|5002|6002|7002|8002|9002|10002|11002|12002	1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1	100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100	0
41059	5	街亭之战星级宝箱II	57	可开出1-3级材料一个。	60000	0	60000	1	8	1001|2001|3001|4001|5001|6001|7001|8001|9001|10001|11001|12001|1002|2002|3002|4002|5002|6002|7002|8002|9002|10002|11002|12002|1003|2003|3003|4003|5003|6003|7003|8003|9003|10003|11003|12003	1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1	100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100	0
41060	5	街亭之战星级宝箱III	57	可开出2-4级材料一个。	60000	0	60000	1	8	1004|2004|3004|4004|5004|6004|7004|8004|9004|10004|11004|12004|1002|2002|3002|4002|5002|6002|7002|8002|9002|10002|11002|12002|1003|2003|3003|4003|5003|6003|7003|8003|9003|10003|11003|12003	1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1	100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|66|66|66|66|66|66|66|66|66|66|66|66	0
41061	5	五丈原之战星级宝箱I	57	可开出1-2级材料一个。	60000	0	60000	1	8	1001|2001|3001|4001|5001|6001|7001|8001|9001|10001|11001|12001|1002|2002|3002|4002|5002|6002|7002|8002|9002|10002|11002|12002	1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1	100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100	0
41062	5	五丈原之战星级宝箱II	57	可开出1-3级材料一个。	60000	0	60000	1	8	1001|2001|3001|4001|5001|6001|7001|8001|9001|10001|11001|12001|1002|2002|3002|4002|5002|6002|7002|8002|9002|10002|11002|12002|1003|2003|3003|4003|5003|6003|7003|8003|9003|10003|11003|12003	1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1	100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100	0
41063	5	五丈原之战星级宝箱III	57	可开出2-4级材料一个。	60000	0	60000	1	8	1004|2004|3004|4004|5004|6004|7004|8004|9004|10004|11004|12004|1002|2002|3002|4002|5002|6002|7002|8002|9002|10002|11002|12002|1003|2003|3003|4003|5003|6003|7003|8003|9003|10003|11003|12003	1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1	100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|100|66|66|66|66|66|66|66|66|66|66|66|66	0
